team,split_value,matches_played,possession_pct,touches_against,touches_for,touches_opp_box_against,touches_opp_box_for,passes_attempted_against,passes_attempted_for,passes_completed_against,passes_completed_for,open_play_passes_against,open_play_passes_for,passes_forward_against,passes_forward_for,passes_backward_against,passes_backward_for,passes_sideways_against,passes_sideways_for,passes_opp_half_against,passes_opp_half_for,passes_own_half_against,passes_own_half_for,crosses_attempted_against,crosses_attempted_for,crosses_completed_against,crosses_completed_for,long_passes_attempted_against,long_passes_attempted_for,long_passes_completed_against,long_passes_completed_for,through_balls_against,through_balls_for,corners_against,corners_for,chances_created_against,chances_created_for,assists_against,assists_for,shots_against,shots_for,shots_on_target_against,shots_on_target_for,shots_off_target_against,shots_off_target_for,shots_blocked_against,shots_blocked_for,shots_in_box_against,shots_in_box_for,shots_outside_box_against,shots_outside_box_for,shots_on_target_in_box_against,shots_on_target_in_box_for,shots_on_target_outside_box_against,shots_on_target_outside_box_for,goals_against,goals_for,goals_in_box_against,goals_in_box_for,goals_outside_box_against,goals_outside_box_for,goals_from_shots_against,goals_from_shots_for,own_goals_against,own_goals_for,own_goals_in_box_against,own_goals_in_box_for,own_goals_outside_box_against,own_goals_outside_box_for,take_ons_against,take_ons_for,take_ons_won_against,take_ons_won_for,aerials_against,aerials_for,aerials_won_against,aerials_won_for,ground_duels_against,ground_duels_for,ground_duels_won_against,ground_duels_won_for,duels_contested_against,duels_contested_for,duels_won_against,duels_won_for,tackles_against,tackles_for,interceptions_against,interceptions_for,clearances_against,clearances_for,ball_recoveries_against,ball_recoveries_for,blocked_passes_against,blocked_passes_for,fouls_committed_against,fouls_committed_for,fouls_won_against,fouls_won_for,possession_lost_against,possession_lost_for,pass_accuracy_pct_for,cross_accuracy_pct_for,long_pass_accuracy_pct_for,shooting_accuracy_pct_for,conversion_pct_for,take_on_success_pct_for,aerial_success_pct_for,ground_duel_success_pct_for,duel_success_pct_for,pass_accuracy_pct_against,cross_accuracy_pct_against,long_pass_accuracy_pct_against,shooting_accuracy_pct_against,conversion_pct_against,take_on_success_pct_against,aerial_success_pct_against,ground_duel_success_pct_against,duel_success_pct_against,rank_possession_pct,rank_touches_against,rank_touches_for,rank_touches_opp_box_against,rank_touches_opp_box_for,rank_passes_attempted_against,rank_passes_attempted_for,rank_passes_completed_against,rank_passes_completed_for,rank_open_play_passes_against,rank_open_play_passes_for,rank_passes_forward_against,rank_passes_forward_for,rank_passes_backward_against,rank_passes_backward_for,rank_passes_sideways_against,rank_passes_sideways_for,rank_passes_opp_half_against,rank_passes_opp_half_for,rank_passes_own_half_against,rank_passes_own_half_for,rank_crosses_attempted_against,rank_crosses_attempted_for,rank_crosses_completed_against,rank_crosses_completed_for,rank_long_passes_attempted_against,rank_long_passes_attempted_for,rank_long_passes_completed_against,rank_long_passes_completed_for,rank_through_balls_against,rank_through_balls_for,rank_corners_against,rank_corners_for,rank_chances_created_against,rank_chances_created_for,rank_assists_against,rank_assists_for,rank_shots_against,rank_shots_for,rank_shots_on_target_against,rank_shots_on_target_for,rank_shots_off_target_against,rank_shots_off_target_for,rank_shots_blocked_against,rank_shots_blocked_for,rank_shots_in_box_against,rank_shots_in_box_for,rank_shots_outside_box_against,rank_shots_outside_box_for,rank_shots_on_target_in_box_against,rank_shots_on_target_in_box_for,rank_shots_on_target_outside_box_against,rank_shots_on_target_outside_box_for,rank_goals_against,rank_goals_for,rank_goals_in_box_against,rank_goals_in_box_for,rank_goals_outside_box_against,rank_goals_outside_box_for,rank_goals_from_shots_against,rank_goals_from_shots_for,rank_own_goals_against,rank_own_goals_for,rank_own_goals_in_box_against,rank_own_goals_in_box_for,rank_own_goals_outside_box_against,rank_own_goals_outside_box_for,rank_take_ons_against,rank_take_ons_for,rank_take_ons_won_against,rank_take_ons_won_for,rank_aerials_against,rank_aerials_for,rank_aerials_won_against,rank_aerials_won_for,rank_ground_duels_against,rank_ground_duels_for,rank_ground_duels_won_against,rank_ground_duels_won_for,rank_duels_contested_against,rank_duels_contested_for,rank_duels_won_against,rank_duels_won_for,rank_tackles_against,rank_tackles_for,rank_interceptions_against,rank_interceptions_for,rank_clearances_against,rank_clearances_for,rank_ball_recoveries_against,rank_ball_recoveries_for,rank_blocked_passes_against,rank_blocked_passes_for,rank_fouls_committed_against,rank_fouls_committed_for,rank_fouls_won_against,rank_fouls_won_for,rank_possession_lost_against,rank_possession_lost_for,rank_pass_accuracy_pct_for,rank_cross_accuracy_pct_for,rank_long_pass_accuracy_pct_for,rank_shooting_accuracy_pct_for,rank_conversion_pct_for,rank_take_on_success_pct_for,rank_aerial_success_pct_for,rank_ground_duel_success_pct_for,rank_duel_success_pct_for,rank_pass_accuracy_pct_against,rank_cross_accuracy_pct_against,rank_long_pass_accuracy_pct_against,rank_shooting_accuracy_pct_against,rank_conversion_pct_against,rank_take_on_success_pct_against,rank_aerial_success_pct_against,rank_ground_duel_success_pct_against,rank_duel_success_pct_against
Chelsea,61-75,5,53.83,464,541,25,28,338,426,275,347,312,391,163,184,69,91,106,151,115,207,160,140,12,19,3,3,43,41,18,14,3,1,4,6,5,8,4,5,7,14,3,5,2,4,2,5,5,6,2,8,2,2,1,3,1,2,1,1,0,1,0,2,0,1,0,1,0,0,11,9,6,6,15,15,10,5,35,34,11,19,50,49,21,24,8,14,3,5,30,18,20,23,8,2,7,4,4,7,95,102,81.46,15.79,34.15,35.71,14.29,66.67,33.33,55.88,48.98,81.36,25.0,41.86,42.86,0.0,54.55,66.67,31.43,42.0,8.0,10.0,5.0,4.0,1.0,12.0,4.0,11.0,6.0,11.0,5.0,9.0,5.0,13.0,6.0,12.0,5.0,14.0,3.0,6.0,10.0,5.0,1.0,4.0,2.0,9.0,12.0,11.0,15.0,3.0,7.0,5.0,3.0,15.0,6.0,10.0,8.0,17.0,4.0,9.0,3.0,18.0,10.0,14.0,3.0,13.0,9.0,15.0,2.0,6.0,6.0,6.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,11.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,14.0,16.0,5.0,9.0,18.0,18.0,11.0,18.0,9.0,11.0,11.0,3.0,16.0,17.0,11.0,8.0,19.0,7.0,20.0,12.0,2.0,13.0,19.0,18.0,3.0,19.0,13.0,19.0,19.0,13.0,5.0,4.0,10.0,14.0,18.0,9.0,3.0,1.0,19.0,1.0,3.0,8.0,6.0,10.0,4.0,11.0,5.0,2.0,13.0,7.0
Coventry,61-75,5,41.32,558,393,14,18,450,281,391,213,422,251,161,120,99,74,190,87,209,107,182,106,11,9,3,1,26,55,9,28,4,0,3,3,6,4,4,2,10,7,2,1,4,4,4,2,6,4,4,3,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,8,18,5,9,20,20,6,14,32,32,8,13,52,52,14,27,10,7,5,9,26,17,27,28,5,7,9,8,8,9,80,95,75.8,11.11,50.91,14.29,0.0,50.0,70.0,40.62,51.92,86.89,27.27,34.62,20.0,10.0,62.5,30.0,25.0,26.92,17.0,3.0,17.0,18.0,14.0,2.0,16.0,2.0,16.0,2.0,16.0,10.0,19.0,4.0,11.0,1.0,15.0,2.0,15.0,4.0,18.0,8.0,11.0,4.0,12.0,20.0,2.0,20.0,2.0,1.0,15.0,10.0,9.0,13.0,18.0,10.0,17.0,11.0,18.0,12.0,16.0,10.0,10.0,6.0,13.0,9.0,14.0,9.0,12.0,12.0,14.0,6.0,15.0,3.0,11.0,3.0,11.0,2.0,2.0,3.0,10.0,3.0,3.0,3.0,3.0,1.0,1.0,20.0,1.0,10.0,1.0,10.0,10.0,18.0,4.0,13.0,12.0,17.0,8.0,14.0,14.0,17.0,6.0,12.0,17.0,12.0,4.0,3.0,14.0,15.0,14.0,7.0,1.0,7.0,11.0,11.0,7.0,18.0,7.0,16.0,16.0,4.0,17.0,10.0,5.0,1.0,5.0,2.0,2.0,4.0,18.0,12.0,5.0,4.0,20.0,17.0,18.0
Crystal Palace,61-75,5,45.04,537,440,24,14,415,321,355,253,386,293,177,149,104,58,134,114,162,122,193,131,2,9,1,0,43,38,23,15,1,3,2,0,3,6,2,2,6,7,0,3,3,3,3,1,4,4,2,3,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,17,10,6,5,24,24,14,10,45,44,14,22,69,68,28,32,13,20,8,6,21,20,30,30,5,7,8,9,9,8,95,91,78.82,0.0,39.47,42.86,14.29,50.0,41.67,50.0,47.06,85.54,50.0,53.49,0.0,0.0,35.29,58.33,31.11,40.58,15.0,5.0,13.0,5.0,17.0,5.0,13.0,4.0,14.0,5.0,13.0,4.0,13.0,3.0,16.0,6.0,11.0,6.0,14.0,1.0,13.0,19.0,11.0,13.0,18.0,9.0,14.0,4.0,14.0,7.0,2.0,13.0,20.0,20.0,14.0,20.0,17.0,18.0,18.0,20.0,8.0,15.0,13.0,10.0,17.0,17.0,14.0,15.0,12.0,20.0,6.0,14.0,6.0,13.0,5.0,12.0,4.0,2.0,2.0,11.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,14.0,5.0,12.0,6.0,6.0,3.0,10.0,3.0,4.0,5.0,1.0,3.0,3.0,3.0,1.0,5.0,1.0,5.0,10.0,11.0,11.0,10.0,9.0,7.0,1.0,11.0,6.0,6.0,11.0,5.0,9.0,13.0,18.0,12.0,3.0,3.0,5.0,15.0,3.0,5.0,5.0,1.0,3.0,20.0,11.0,13.0,6.0,14.0,10.0
Everton,61-75,5,45.48,513,428,20,27,402,319,346,260,382,286,172,150,97,67,133,102,197,139,149,121,8,12,2,3,40,35,19,12,1,1,3,3,8,12,5,8,11,17,2,3,4,10,5,4,5,15,6,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,3,2,19,19,11,8,31,30,10,9,50,49,21,17,9,15,5,7,25,14,30,33,5,3,14,2,2,14,82,79,81.5,25.0,34.29,17.65,0.0,28.57,42.11,30.0,34.69,86.07,25.0,47.5,18.18,0.0,27.27,57.89,32.26,42.0,14.0,9.0,14.0,8.0,2.0,6.0,14.0,5.0,13.0,6.0,14.0,5.0,11.0,5.0,14.0,7.0,14.0,3.0,13.0,8.0,15.0,13.0,7.0,8.0,2.0,13.0,16.0,8.0,19.0,7.0,7.0,10.0,9.0,9.0,1.0,6.0,1.0,5.0,2.0,12.0,8.0,10.0,1.0,2.0,5.0,13.0,1.0,4.0,17.0,12.0,6.0,6.0,6.0,13.0,11.0,12.0,11.0,2.0,2.0,11.0,10.0,3.0,3.0,3.0,3.0,1.0,1.0,14.0,19.0,16.0,19.0,12.0,12.0,9.0,15.0,15.0,17.0,13.0,14.0,16.0,17.0,11.0,17.0,16.0,4.0,12.0,8.0,4.0,17.0,10.0,6.0,7.0,17.0,1.0,20.0,20.0,1.0,17.0,19.0,9.0,5.0,17.0,15.0,10.0,17.0,14.0,14.0,17.0,3.0,6.0,9.0,16.0,11.0,15.0,7.0,10.0,7.0
Fulham,61-75,5,55.11,461,566,29,22,344,459,282,390,315,425,161,204,71,117,112,138,145,169,137,221,15,5,4,1,43,49,26,24,1,2,5,4,11,7,8,3,15,8,6,4,4,2,5,2,8,5,7,3,2,3,4,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,10,17,7,9,14,14,9,5,38,39,18,15,52,53,27,20,12,9,5,6,15,19,28,30,10,3,7,8,8,7,84,92,84.97,20.0,48.98,50.0,0.0,52.94,35.71,38.46,37.74,81.98,26.67,60.47,40.0,6.67,70.0,64.29,47.37,51.92,7.0,11.0,2.0,2.0,7.0,11.0,3.0,10.0,3.0,10.0,3.0,10.0,1.0,11.0,2.0,10.0,8.0,9.0,7.0,12.0,1.0,4.0,16.0,1.0,12.0,9.0,4.0,2.0,4.0,7.0,4.0,2.0,5.0,3.0,10.0,2.0,16.0,4.0,13.0,1.0,5.0,10.0,16.0,2.0,13.0,4.0,11.0,3.0,12.0,6.0,2.0,1.0,6.0,3.0,5.0,3.0,4.0,2.0,2.0,3.0,10.0,1.0,3.0,1.0,3.0,1.0,1.0,18.0,2.0,3.0,1.0,20.0,20.0,14.0,18.0,6.0,5.0,2.0,5.0,14.0,11.0,4.0,16.0,8.0,13.0,12.0,10.0,18.0,12.0,14.0,9.0,1.0,17.0,13.0,11.0,11.0,13.0,14.0,8.0,4.0,8.0,5.0,1.0,10.0,4.0,18.0,7.0,14.0,7.0,5.0,1.0,5.0,9.0,2.0,3.0,3.0,2.0
Hull,61-75,5,33.7,604,307,20,12,517,219,443,152,482,193,205,123,127,50,185,46,294,83,149,69,19,13,4,3,39,45,15,13,0,1,5,1,10,11,5,5,10,11,2,2,4,6,4,3,7,5,3,6,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,12,7,3,3,15,15,8,7,21,22,6,8,36,37,14,15,4,10,5,4,17,21,21,21,3,4,4,5,5,4,95,81,69.41,23.08,28.89,18.18,9.09,42.86,46.67,36.36,40.54,85.69,21.05,38.46,20.0,10.0,25.0,53.33,28.57,38.89,20.0,1.0,20.0,8.0,19.0,1.0,20.0,1.0,20.0,1.0,20.0,1.0,18.0,1.0,18.0,2.0,20.0,1.0,16.0,8.0,20.0,1.0,5.0,1.0,2.0,14.0,9.0,17.0,18.0,16.0,7.0,2.0,17.0,4.0,4.0,6.0,8.0,11.0,8.0,12.0,14.0,10.0,5.0,6.0,8.0,6.0,11.0,11.0,4.0,12.0,14.0,6.0,6.0,3.0,5.0,3.0,4.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,9.0,19.0,16.0,17.0,18.0,18.0,17.0,16.0,20.0,20.0,19.0,15.0,20.0,20.0,17.0,18.0,20.0,11.0,12.0,18.0,16.0,9.0,18.0,20.0,15.0,13.0,18.0,18.0,18.0,18.0,5.0,16.0,19.0,6.0,20.0,14.0,6.0,12.0,13.0,10.0,9.0,4.0,10.0,16.0,12.0,5.0,16.0,8.0,15.0,13.0
Ipswich,61-75,5,39.2,546,352,29,8,428,246,366,185,399,219,186,111,112,52,130,83,183,43,183,142,12,2,2,0,35,44,17,17,1,0,2,2,12,1,7,0,18,4,5,1,9,2,4,1,15,1,3,3,5,0,0,1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,13,10,6,4,17,17,10,7,32,32,16,7,49,49,26,14,13,8,4,10,11,26,34,29,8,5,4,9,9,4,85,86,75.2,0.0,38.64,25.0,0.0,40.0,41.18,21.88,28.57,85.51,16.67,48.57,27.78,11.11,46.15,58.82,50.0,53.06,19.0,4.0,19.0,2.0,20.0,4.0,17.0,3.0,17.0,3.0,17.0,3.0,20.0,2.0,17.0,8.0,16.0,5.0,20.0,3.0,9.0,5.0,20.0,8.0,18.0,18.0,10.0,15.0,10.0,7.0,15.0,13.0,13.0,1.0,20.0,3.0,20.0,2.0,20.0,4.0,16.0,2.0,16.0,6.0,17.0,1.0,20.0,11.0,12.0,1.0,20.0,14.0,6.0,2.0,11.0,2.0,11.0,2.0,2.0,2.0,10.0,3.0,3.0,3.0,3.0,1.0,1.0,6.0,14.0,5.0,13.0,15.0,15.0,11.0,16.0,13.0,12.0,4.0,18.0,18.0,17.0,6.0,19.0,5.0,14.0,17.0,2.0,19.0,3.0,5.0,12.0,3.0,8.0,18.0,6.0,6.0,18.0,12.0,13.0,17.0,18.0,13.0,13.0,10.0,14.0,17.0,17.0,19.0,6.0,14.0,8.0,10.0,3.0,9.0,4.0,2.0,1.0
Leeds,61-75,5,41.78,535,384,32,13,373,242,293,168,336,206,172,126,81,43,120,73,161,50,132,118,19,7,4,1,43,52,22,19,2,0,6,3,12,3,5,2,20,8,4,3,10,2,6,3,9,4,11,4,3,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,27,15,18,3,36,36,14,22,56,54,30,8,92,90,44,30,15,16,5,13,34,36,38,25,0,5,9,9,9,9,109,105,69.42,14.29,36.54,37.5,0.0,20.0,61.11,14.81,33.33,78.55,21.05,51.16,20.0,5.0,66.67,38.89,53.57,47.83,16.0,6.0,18.0,1.0,18.0,9.0,18.0,9.0,18.0,9.0,19.0,5.0,17.0,8.0,19.0,9.0,19.0,7.0,19.0,13.0,16.0,1.0,13.0,1.0,12.0,9.0,3.0,5.0,8.0,4.0,15.0,1.0,9.0,1.0,19.0,6.0,17.0,1.0,13.0,6.0,8.0,1.0,16.0,1.0,8.0,3.0,14.0,1.0,7.0,3.0,6.0,6.0,6.0,3.0,11.0,3.0,11.0,2.0,2.0,3.0,10.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,9.0,1.0,17.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,3.0,3.0,2.0,12.0,1.0,1.0,2.0,2.0,17.0,20.0,8.0,7.0,6.0,6.0,7.0,2.0,3.0,18.0,15.0,15.0,5.0,10.0,19.0,4.0,20.0,18.0,14.0,10.0,5.0,12.0,10.0,3.0,17.0,1.0,3.0
Liverpool,61-75,5,57.14,420,560,15,21,302,424,230,360,268,399,151,196,63,84,88,144,109,187,121,173,9,12,2,2,60,47,25,28,0,3,2,1,6,7,4,4,9,8,6,3,3,2,0,3,6,4,3,4,3,1,3,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,13,16,2,7,16,16,6,10,37,38,8,20,53,54,14,30,11,15,11,5,23,23,31,31,5,7,5,6,6,5,101,96,84.91,16.67,59.57,37.5,0.0,43.75,62.5,52.63,55.56,76.16,22.22,41.67,66.67,11.11,15.38,37.5,21.62,26.42,5.0,14.0,4.0,15.0,10.0,14.0,5.0,14.0,4.0,15.0,4.0,13.0,3.0,14.0,9.0,16.0,7.0,16.0,4.0,14.0,4.0,11.0,7.0,8.0,9.0,1.0,6.0,3.0,2.0,16.0,2.0,13.0,17.0,13.0,10.0,10.0,11.0,16.0,13.0,1.0,8.0,15.0,16.0,19.0,8.0,9.0,14.0,11.0,7.0,3.0,14.0,3.0,4.0,3.0,11.0,3.0,11.0,2.0,2.0,3.0,10.0,3.0,3.0,3.0,3.0,1.0,1.0,6.0,6.0,20.0,6.0,16.0,16.0,18.0,10.0,7.0,7.0,17.0,2.0,11.0,10.0,17.0,3.0,10.0,4.0,1.0,12.0,6.0,7.0,8.0,8.0,7.0,1.0,17.0,16.0,16.0,17.0,4.0,6.0,5.0,11.0,2.0,5.0,10.0,10.0,3.0,2.0,1.0,17.0,9.0,11.0,1.0,3.0,20.0,18.0,19.0,19.0
Man City,61-75,5,63.21,365,627,15,20,276,510,203,454,251,479,137,188,48,127,91,195,82,249,121,205,11,5,0,2,52,34,21,16,1,1,2,4,4,10,3,7,10,11,2,3,6,5,2,3,7,7,3,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,6,8,20,20,10,10,35,35,14,12,55,55,24,22,13,8,6,8,6,24,33,32,9,4,12,6,6,12,91,81,89.02,40.0,47.06,27.27,0.0,57.14,50.0,34.29,40.0,73.55,0.0,40.38,20.0,0.0,50.0,50.0,40.0,43.64,1.0,17.0,1.0,15.0,13.0,17.0,1.0,17.0,1.0,17.0,1.0,16.0,4.0,20.0,1.0,15.0,1.0,18.0,2.0,14.0,2.0,8.0,16.0,16.0,9.0,3.0,17.0,6.0,12.0,7.0,7.0,13.0,5.0,17.0,5.0,17.0,4.0,11.0,8.0,12.0,8.0,4.0,7.0,14.0,8.0,6.0,8.0,11.0,7.0,12.0,6.0,6.0,6.0,13.0,11.0,12.0,11.0,2.0,2.0,11.0,10.0,3.0,3.0,3.0,3.0,1.0,1.0,9.0,11.0,5.0,3.0,10.0,10.0,11.0,10.0,9.0,10.0,5.0,10.0,8.0,8.0,10.0,13.0,5.0,14.0,11.0,5.0,20.0,4.0,6.0,7.0,2.0,13.0,2.0,16.0,16.0,2.0,10.0,16.0,1.0,2.0,8.0,12.0,10.0,2.0,9.0,13.0,10.0,20.0,16.0,13.0,12.0,11.0,7.0,12.0,5.0,6.0
Man Utd,61-75,5,61.68,351,565,14,25,242,469,183,408,212,444,110,200,54,114,78,155,69,254,114,154,4,17,2,3,38,37,10,21,2,1,3,8,8,12,4,8,11,24,4,7,5,8,2,9,6,13,5,11,2,3,2,4,1,1,1,1,0,0,0,1,0,1,0,1,0,0,9,17,7,7,18,18,6,12,31,32,12,12,49,50,18,24,10,7,8,4,22,12,30,34,4,5,2,7,7,2,73,80,86.99,17.65,56.76,29.17,4.17,41.18,66.67,37.5,48.0,75.62,50.0,26.32,36.36,0.0,77.78,33.33,38.71,36.73,2.0,19.0,3.0,18.0,4.0,19.0,2.0,18.0,2.0,18.0,2.0,19.0,2.0,17.0,3.0,18.0,3.0,20.0,1.0,16.0,8.0,18.0,2.0,8.0,2.0,15.0,15.0,19.0,6.0,4.0,7.0,10.0,1.0,9.0,1.0,10.0,1.0,5.0,1.0,6.0,1.0,6.0,3.0,14.0,1.0,9.0,2.0,8.0,1.0,6.0,2.0,4.0,1.0,3.0,5.0,3.0,4.0,2.0,2.0,11.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,19.0,2.0,3.0,6.0,14.0,14.0,18.0,7.0,15.0,12.0,10.0,10.0,18.0,15.0,16.0,8.0,12.0,17.0,5.0,18.0,9.0,19.0,10.0,4.0,12.0,8.0,20.0,15.0,15.0,20.0,20.0,18.0,3.0,9.0,3.0,11.0,9.0,13.0,2.0,8.0,4.0,18.0,1.0,20.0,8.0,11.0,1.0,19.0,6.0,16.0
Newcastle,61-75,5,53.27,393,448,15,23,285,336,226,270,253,299,142,140,60,79,83,117,126,154,100,116,10,13,1,3,37,44,18,14,1,0,2,4,8,7,6,4,11,10,3,4,5,5,3,1,5,8,6,2,2,2,1,2,1,2,1,2,0,0,1,2,0,0,0,0,0,0,12,16,3,7,21,21,11,10,35,32,9,11,56,53,20,21,12,8,4,5,21,24,26,27,3,6,10,12,12,10,83,89,80.36,23.08,31.82,40.0,20.0,43.75,47.62,34.38,39.62,79.3,10.0,48.65,27.27,9.09,25.0,52.38,25.71,35.71,9.0,16.0,11.0,15.0,5.0,16.0,11.0,16.0,11.0,16.0,11.0,15.0,15.0,16.0,10.0,17.0,9.0,11.0,9.0,19.0,17.0,10.0,5.0,13.0,2.0,16.0,10.0,11.0,15.0,7.0,15.0,13.0,5.0,9.0,10.0,4.0,11.0,5.0,10.0,9.0,5.0,6.0,7.0,10.0,17.0,13.0,5.0,4.0,17.0,6.0,6.0,6.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,9.0,6.0,16.0,6.0,9.0,9.0,9.0,10.0,9.0,12.0,14.0,12.0,7.0,11.0,14.0,14.0,8.0,14.0,17.0,12.0,11.0,4.0,16.0,16.0,15.0,6.0,6.0,2.0,2.0,6.0,16.0,11.0,12.0,6.0,19.0,4.0,2.0,10.0,12.0,12.0,11.0,12.0,15.0,7.0,11.0,8.0,16.0,9.0,16.0,17.0
Nottingham Forest,61-75,5,51.09,449,469,14,22,329,339,264,266,291,307,148,161,78,74,103,104,115,141,149,125,8,12,2,2,45,49,18,21,1,6,2,3,5,8,4,7,6,12,4,1,2,5,0,6,4,8,2,4,3,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,19,17,4,6,23,23,12,11,44,45,14,19,67,68,26,30,15,16,10,5,23,21,26,36,3,6,11,10,10,11,95,102,78.47,16.67,42.86,8.33,8.33,35.29,47.83,42.22,44.12,80.24,25.0,40.0,66.67,16.67,21.05,52.17,31.82,38.81,10.0,13.0,10.0,18.0,7.0,13.0,10.0,13.0,12.0,13.0,10.0,14.0,8.0,9.0,11.0,13.0,13.0,14.0,12.0,8.0,14.0,13.0,7.0,8.0,9.0,6.0,4.0,11.0,6.0,7.0,1.0,13.0,9.0,15.0,6.0,10.0,4.0,18.0,6.0,6.0,16.0,18.0,7.0,19.0,2.0,17.0,5.0,15.0,7.0,3.0,14.0,6.0,15.0,3.0,5.0,3.0,4.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,14.0,9.0,7.0,7.0,6.0,9.0,4.0,3.0,5.0,3.0,4.0,3.0,6.0,3.0,3.0,2.0,3.0,12.0,6.0,9.0,16.0,2.0,15.0,6.0,4.0,4.0,4.0,4.0,5.0,4.0,14.0,11.0,10.0,20.0,7.0,16.0,11.0,4.0,7.0,9.0,6.0,14.0,1.0,2.0,19.0,10.0,12.0,14.0
Sunderland,61-75,5,46.8,457,402,17,22,345,289,272,220,308,263,164,150,71,64,110,75,126,82,146,138,5,6,1,1,46,47,19,23,0,1,4,1,9,7,4,7,11,12,1,2,6,6,4,4,7,10,4,2,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,12,8,5,4,25,25,12,13,28,25,9,10,53,50,21,23,9,7,8,8,22,15,35,36,4,7,12,12,12,12,92,89,76.12,16.67,48.94,16.67,8.33,50.0,52.0,40.0,46.0,78.84,20.0,41.3,9.09,0.0,41.67,48.0,32.14,39.62,12.0,12.0,15.0,13.0,7.0,10.0,15.0,12.0,15.0,12.0,15.0,8.0,11.0,11.0,15.0,11.0,18.0,11.0,17.0,11.0,11.0,17.0,14.0,13.0,12.0,5.0,6.0,8.0,5.0,16.0,7.0,5.0,17.0,5.0,10.0,10.0,4.0,5.0,6.0,17.0,14.0,4.0,5.0,6.0,5.0,6.0,3.0,9.0,17.0,12.0,6.0,14.0,15.0,13.0,5.0,12.0,4.0,2.0,2.0,11.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,9.0,17.0,10.0,13.0,5.0,5.0,6.0,6.0,18.0,19.0,14.0,13.0,11.0,15.0,11.0,11.0,16.0,17.0,5.0,5.0,9.0,16.0,4.0,2.0,12.0,1.0,2.0,2.0,2.0,2.0,9.0,11.0,15.0,11.0,6.0,16.0,7.0,5.0,8.0,6.0,6.0,13.0,12.0,12.0,18.0,11.0,10.0,13.0,11.0,12.0
Tottenham,61-75,5,59.14,351,508,21,21,244,399,183,334,212,374,119,161,53,93,72,145,93,170,90,164,8,15,3,1,49,34,17,16,1,0,2,5,9,6,9,4,11,10,5,1,3,7,3,2,10,4,1,6,5,1,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,12,16,3,6,19,19,9,10,34,38,5,14,53,57,14,24,9,15,9,3,19,17,29,30,6,2,11,10,10,11,84,86,83.71,6.67,47.06,10.0,0.0,37.5,52.63,36.84,42.11,75.0,37.5,34.69,45.45,27.27,25.0,47.37,14.71,26.42,4.0,19.0,8.0,7.0,10.0,18.0,7.0,18.0,8.0,18.0,7.0,18.0,8.0,18.0,5.0,19.0,6.0,17.0,6.0,20.0,6.0,13.0,4.0,4.0,12.0,4.0,17.0,15.0,12.0,7.0,15.0,13.0,4.0,5.0,14.0,1.0,11.0,5.0,10.0,4.0,16.0,15.0,4.0,10.0,13.0,2.0,14.0,19.0,4.0,1.0,14.0,14.0,15.0,1.0,11.0,1.0,11.0,2.0,2.0,1.0,10.0,3.0,3.0,3.0,3.0,1.0,1.0,9.0,6.0,16.0,9.0,12.0,12.0,14.0,10.0,12.0,7.0,20.0,7.0,11.0,7.0,17.0,8.0,16.0,4.0,4.0,20.0,13.0,14.0,13.0,9.0,6.0,19.0,4.0,4.0,4.0,4.0,14.0,13.0,6.0,17.0,8.0,19.0,10.0,15.0,7.0,9.0,8.0,19.0,3.0,17.0,3.0,1.0,16.0,14.0,20.0,19.0
