team,split_type,match_id,side,split_value,touches,touches_opp_box,passes_attempted,passes_completed,open_play_passes,passes_forward,passes_backward,passes_sideways,passes_opp_half,passes_own_half,crosses_attempted,crosses_completed,crosses_all,crosses_all_completed,long_passes_attempted,long_passes_completed,through_balls,passes_final_third,passes_final_third_completed,passes_into_final_third,progressive_passes,passes_outside_own_third,corners,chances_created,assists,shots,shots_on_target,shots_off_target,shots_blocked,shots_in_box,shots_outside_box,shots_on_target_in_box,shots_on_target_outside_box,goals,goals_in_box,goals_outside_box,goals_from_shots,own_goals,own_goals_in_box,own_goals_outside_box,take_ons,take_ons_won,aerials,aerials_won,ground_duels,ground_duels_won,duels_contested,duels_won,smothers,tackles,interceptions,clearances,ball_recoveries,blocked_passes,pressing_actions,recovery_actions,pressing_actions_outside_own_third,missed_tackles,fouls_committed,fouls_won,possession_lost,sequences,sequence_passes,sequence_seconds,sequence_progress_m,sequence_length_m,sequence_start_x_m,build_up_attacks,direct_attacks,high_turnovers,high_turnover_shots,sequence_pressed,shot_ending_sequences
Brighton,total,1983561,for,Season,820,27,647,567,634,281,150,216,258,309,23,5,31,7,65,36,4,127,99,50,74,482,7,8,7,15,6,8,1,13,2,5,1,3,3,0,2,0,0,0,11,7,31,14,52,22,83,36,0,9,5,14,38,7,39,52,28,6,12,6,100,181.0,708.0,1713.0,1837.815,10229.092134547382,9536.52,2.0,0.0,45.0,9.0,22.0,15.0
Chelsea,time_block,1983561,against,0-15,124,1,100,90,99,40,28,32,31,59,4,0,6,0,11,7,1,16,12,8,7,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,6,3,9,3,0,0,0,2,4,3,5,6,3,1,1,1,11,23.0,111.0,315.0,205.17,1723.6350228329823,1219.8899999999999,0.0,0.0,4.0,0.0,1.0,0.0
Chelsea,time_block,1983561,against,16-30,159,2,137,124,135,60,33,44,58,66,4,2,5,2,17,12,1,21,17,11,19,117,1,2,2,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,5,3,10,5,15,8,0,3,0,0,9,1,8,9,8,2,2,1,14,31.0,144.0,376.0,298.41,2144.5939869189574,1604.19,2.0,0.0,8.0,0.0,4.0,2.0
Chelsea,time_block,1983561,against,31-45,117,7,79,65,77,35,20,24,32,33,2,1,3,1,9,3,0,14,12,7,7,55,1,3,2,4,2,2,0,3,1,2,0,1,1,0,1,0,0,0,1,1,7,3,11,3,18,6,0,1,3,5,5,0,8,10,4,1,3,1,22,29.0,100.0,255.0,125.895,1408.9646080856178,1357.545,0.0,0.0,4.0,2.0,9.0,4.0
Chelsea,time_block,1983561,against,46-60,136,4,107,93,105,43,16,48,48,45,3,1,4,2,10,3,0,19,15,4,10,83,0,1,1,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,3,10,7,0,2,0,5,3,0,3,8,1,0,1,1,14,27.0,128.0,292.0,284.96999999999997,1801.7283889231226,1327.7250000000001,0.0,0.0,5.0,2.0,2.0,3.0
Chelsea,time_block,1983561,against,61-75,137,7,109,99,105,48,27,34,41,58,7,1,7,1,5,3,1,23,19,9,15,71,1,1,1,3,2,1,0,2,1,1,1,1,1,0,0,0,0,0,5,3,4,2,9,4,13,6,0,1,0,1,6,2,6,7,5,2,1,0,14,29.0,98.0,195.0,348.39,1347.3681933388577,1558.725,0.0,0.0,11.0,3.0,1.0,3.0
Chelsea,time_block,1983561,against,76+,147,6,115,96,113,55,26,34,48,48,3,0,6,1,13,8,1,34,24,11,16,98,2,1,1,3,1,2,0,3,0,1,0,1,1,0,1,0,0,0,1,0,6,2,12,4,18,6,0,2,2,1,11,1,9,12,7,0,4,2,25,42.0,127.0,280.0,574.98,1802.801934447844,2468.445,0.0,0.0,13.0,2.0,5.0,3.0
Chelsea,time_block,1983561,for,0-15,57,8,35,24,33,12,3,20,12,12,1,0,2,1,5,1,0,13,10,1,3,21,1,2,2,3,2,0,1,3,0,2,0,2,2,0,2,0,0,0,1,1,3,3,6,3,9,6,0,1,0,5,6,4,8,11,2,2,1,1,12,20.0,38.0,91.0,215.145,434.8035790177821,969.5699999999999,1.0,1.0,4.0,2.0,7.0,3.0
Chelsea,time_block,1983561,for,16-30,81,2,56,44,52,21,12,23,13,31,0,0,0,0,8,2,0,5,4,2,4,37,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,5,2,10,5,15,7,0,1,3,5,5,0,6,10,2,1,1,2,15,21.0,60.0,174.0,100.90499999999999,799.5138634191894,581.175,1.0,0.0,1.0,0.0,9.0,1.0
Chelsea,time_block,1983561,for,31-45,79,5,48,32,42,32,8,8,18,14,0,0,1,0,10,5,0,14,11,4,9,37,1,3,2,5,1,1,3,4,1,1,0,1,1,0,1,0,0,0,2,1,7,4,12,8,19,12,0,4,2,5,4,1,9,9,9,1,1,3,19,33.0,50.0,100.0,183.225,591.9915018626745,1734.3899999999999,0.0,1.0,10.0,2.0,4.0,5.0
Chelsea,time_block,1983561,for,46-60,50,8,23,15,19,13,3,7,9,6,3,1,4,1,8,5,0,8,7,3,3,15,1,4,3,4,1,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,6,2,4,1,10,3,0,0,2,7,2,0,3,9,0,0,1,1,12,23.0,31.0,65.0,231.00000000000003,401.10481184193236,1206.345,0.0,1.0,4.0,3.0,5.0,4.0
